productno,name,categrp
1,맛있닭 닭가슴살 소시지 훈제맛,닭가슴살
2,잇메이트 저염 훈제닭가슴살,닭가슴살
3,아워홈 참나무향 닭가슴살,닭가슴살
4,러브잇 닭가슴살 짜장 매운맛,닭가슴살
5,굽네 훈제 닭가슴살 오리지널,닭가슴살
6,맛있닭 닭가슴살 한끼 곤약볶음밥 양송이,간편요리
7,잇메이트 닭가슴살소세지볶음밥 마늘맛,간편요리
8,밀스원 탄두리치킨볶음밥 & 참치오믈렛,간편요리
9,맛있닭 더담은 도시락 닭가슴살 큐브마늘맛 & 연근우엉밥,간편요리
10,더 담아 꽉~채운 계란야채곤약볶음밥&토마토소스닭가슴살슬라이스,간편요리
11,포켓샐러드 닭가슴살 샐러드,샐러드
12,밥보다 샐러드 닭가슴살햄슬라이스&스모크드치즈,샐러드
13,내가 몸짱이 될 샐러드 닭가슴살 & 메추리알 샐러드,샐러드
14,수비드닭가슴살빅샐러드,샐러드
15,아임닭 23 단백질 닭가슴살 샐러드,샐러드
16,애터미 밸런스라이프,건강미용
17,린 컴플리트,건강미용
18,HOPE 발효효소 밸런스밀 블랙,건강미용
19,리뉴슬림 블루,건강미용
20,유산균슬림다이어트,건강미용
21,성수동 스무디 오트밀,간식
22,맛있닭 닭가슴살 소시지 한끼브리또 오리지널,간식
23,글램디 5킬로칼로리 워터젤리 망고맛,간식
24,후디스 그릭요거트 무설탕 저지방,간식
25,단백질공화국 다크초콜릿,간식
